fullname,Followers,retweets,tweets,timestamp,tweet_id,url,username
BilawalBhuttoZardari,5100000,4035,"For the first time in the history of Karachi, I congratulate Pakistan Peoples Party's Barrister Murtaza Wahab on Mayor Karachi and Salman Abdullah Murad on the oath of office.

It is hoped that the Mayor Karachi and Deputy Mayor Karachi will deliver the city to new heights of development, while serving the people of Karachi.",2023-06-19 15:29:00+00:00,1.67E+18,https://twitter.com/BBhuttoZardari/status/1670816071614631936,@BBhuttoZardari
BilawalBhuttoZardari,5100000,5577,"Thanks Swat! 🙏🏽 🙏🏽
Today, we come together to maintain the basic values ​​of the Pakistan Peoples Party: which is to empower justice, equality and the people.

Swat has always been a symbol of enthusiasm and determination, and your unwavering commitment to these values ​​affects us all.",2023-06-17 16:38:00+00:00,1.67E+18,https://twitter.com/BBhuttoZardari/status/1670108613304565762,@BBhuttoZardari
BilawalBhuttoZardari,5100000,4118,"My Depest Sympathies With the Families of the Victims of the Tragic Capsizing of the Boat Off the Coast of Greece @Greecemfa. Our embassy in Athens @Pakingline is in constant contact with the local authorities to facilitate Pakistaniis in distress, for the recovery of the missing, and the Identification of the retrieved bodies.",2023-06-17 11:09:00+00:00,1.67E+18,https://twitter.com/BBhuttoZardari/status/1670025876690305024,@BBhuttoZardari
BilawalBhuttoZardari,5100000,4757,I thank the Members of Asia Pacific Group at un in Ny for their support & confidence in unanimously endorsing 🇵🇰's candidate to the un security council for the terms 2025-2026. 🇵🇰 is determined to make these contributoring which uPholding the principles of un charter.,2023-06-22 11:51:00+00:00,1.67E+18,https://twitter.com/BBhuttoZardari/status/1671848368023425024,@BBhuttoZardari
BilawalBhuttoZardari,5100000,4881,"Our party has always strived for, and Led the way on human rights. The relevant of the PPP HR Cell, LED by @farhatullahb, will employ a new generation of activists to build up on our storied legacy. Together, we will achieve a united, progressive, pluralistic, pakistan",2023-06-16 17:38:00+00:00,1.67E+18,https://twitter.com/BBhuttoZardari/status/1669761356579438597,@BBhuttoZardari
BilawalBhuttoZardari,5100000,5331,"Sher Muhammad Baloch was an invaluable political worker for the ppp, a dedicated Public Representative for Malir, and a true friend of the display. His passing is a huge loss to his family, friends, party, and community.
انَّا لِلِلَّٰهِ وَإِنَا",2023-06-18 08:45:00+00:00,1.67E+18,https://twitter.com/BBhuttoZardari/status/1670352052118261760,@BBhuttoZardari
BilawalBhuttoZardari,5100000,4709,"From Karachi to Kashmir, the mayors and deputy mayors, chairmen and vice -chairmen of Pakistan Peoples Party have taken oath to serve the people.

I congratulate all these candidates- you have a heavy responsibility to serve and develop cities on your shoulders, without discrimination, generation serve people in all kinds of situations, because the source of power is the people.",2023-06-19 16:18:00+00:00,1.67E+18,https://twitter.com/BBhuttoZardari/status/1670828515829207040,@BBhuttoZardari
BilawalBhuttoZardari,5100000,4373,"On #WorldRefugeesDay, the international community must recommit itself towards finding durable solutions to refugee situations globally, including by creating conditions conducive for their voluntary repatriation & resettlement.",2023-06-20 12:54:00+00:00,1.67E+18,https://twitter.com/BBhuttoZardari/status/1671139454701146112,@BBhuttoZardari
BilawalBhuttoZardari,5100000,4621,"Please to join @issislamabad in commoration of its 50th anniversary, founded by My Grandfather #Szab. Proud to see this Institute com a long way & becoming pakistan's Premier Institution for Strategic Research & Analysis.",2023-06-16 16:45:00+00:00,1.67E+18,https://twitter.com/BBhuttoZardari/status/1669747944206086159,@BBhuttoZardari
BilawalBhuttoZardari,5100000,4162,"On SMBB's Birthday, I Remember Her Indomitable Shipta, Unwavering Dedication, and Unshakable Commitment to Democracy. She Fought for the Marginalized, the Oppressed, the Voiceless. Her Memory Continues To Inspire Me to Fight For Justice, Equality, And A Better Future For Pakistan",2023-06-21 10:54:00+00:00,1.67E+18,https://twitter.com/BBhuttoZardari/status/1671471604960997376,@BBhuttoZardari
